load1,load2,load3,load4,load5,load6,load7,label
1,4,7,17,15,0,0,C2
1,4,6,19,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,6,18,15,0,0,C2
0,4,6,18,15,0,0,C2
0,4,6,18,15,0,0,C2
0,4,6,18,15,0,0,C2
0,4,5,18,15,0,0,C2
0,4,6,18,14,0,0,C2
0,4,5,19,14,0,0,C2
0,4,6,18,14,0,0,C2
0,5,4,21,13,0,0,C2
0,5,7,18,13,0,0,C2
0,5,5,19,14,0,0,C2
0,4,6,19,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,7,17,14,0,0,C2
0,4,7,18,14,0,0,C2
0,4,6,18,15,0,0,C2
0,4,7,17,14,0,0,C2
0,4,8,17,14,0,0,C2
0,4,5,19,14,0,0,C2
0,4,6,17,14,0,0,C2
1,4,6,19,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,7,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,4,18,13,0,0,C2
0,4,7,19,15,0,0,C2
1,4,8,18,15,0,0,C2
0,3,7,17,15,0,0,C2
0,3,7,17,15,0,0,C2
0,4,7,18,15,0,0,C2
1,5,7,18,13,0,0,C2
1,4,7,18,14,0,0,C2
1,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
1,5,6,18,14,0,0,C2
0,5,6,18,14,0,0,C2
0,5,6,18,14,0,0,C2
0,5,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,17,14,0,0,C2
1,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,5,5,19,13,0,0,C2
0,5,6,18,13,0,0,C2
0,5,6,18,14,0,0,C2
0,5,5,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,5,6,18,14,0,0,C2
0,5,6,18,14,0,0,C2
0,5,6,19,14,0,0,C2
0,5,6,18,14,0,0,C2
0,5,6,18,14,0,0,C2
0,5,6,18,14,0,0,C2
0,5,6,18,14,0,0,C2
0,5,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,5,5,18,14,0,0,C2
0,5,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,5,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,17,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,7,17,14,0,0,C2
0,4,7,18,14,0,0,C2
0,4,7,17,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,13,0,0,C2
0,4,5,18,13,0,0,C2
0,4,6,18,14,0,0,C2
0,4,7,18,14,0,0,C2
0,4,7,18,14,0,0,C2
0,4,7,18,14,0,0,C2
0,4,7,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,19,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,7,17,14,0,0,C2
0,4,6,17,14,0,0,C2
0,4,7,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,5,17,13,0,0,C2
1,5,7,18,14,0,0,C2
1,5,6,18,14,0,0,C2
1,5,7,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,17,14,0,0,C2
0,4,7,17,14,0,0,C2
0,4,7,17,14,0,0,C2
1,5,7,17,14,0,0,C2
1,5,7,17,14,0,0,C2
1,5,7,17,14,0,0,C2
1,5,7,17,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,19,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,17,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,5,19,14,0,0,C2
0,4,4,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,18,14,0,0,C2
0,4,5,17,14,0,0,C2
0,4,7,18,14,0,0,C2
1,5,7,18,14,0,0,C2
1,4,7,19,14,0,0,C2
0,5,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,19,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,5,6,18,14,0,0,C2
1,5,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,6,18,13,0,0,C2
1,4,7,17,14,0,0,C2
0,5,6,20,14,0,0,C2
1,4,7,19,14,0,0,C2
1,4,6,18,14,0,0,C2
1,4,7,18,14,0,0,C2
1,4,7,18,14,0,0,C2
0,4,7,19,14,0,0,C2
0,4,6,18,14,0,0,C2
0,4,5,19,14,0,0,C2
0,4,5,19,14,0,0,C2
0,4,6,19,14,0,0,C2
0,4,6,18,14,0,0,C2
1,4,7,17,14,0,0,C2
0,4,5,19,14,0,0,C2
0,5,5,19,14,0,0,C2
1,4,8,17,17,0,0,C2
0,4,8,17,17,0,0,C2
1,4,8,17,17,0,0,C2
0,4,8,17,17,0,0,C2
0,4,8,17,17,0,0,C2
0,4,8,17,17,0,0,C2
0,5,4,18,15,0,0,C2
0,5,4,18,15,0,0,C2
0,5,4,18,15,0,0,C2
0,5,4,18,15,0,0,C2
0,5,4,18,15,0,0,C2
0,5,4,18,15,0,0,C2
0,5,4,18,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,18,15,0,0,C2
0,5,4,18,15,0,0,C2
0,4,4,18,15,0,0,C2
0,5,4,18,15,0,0,C2
0,4,4,17,15,0,0,C2
1,5,7,17,15,0,0,C2
1,5,7,16,15,0,0,C2
1,5,7,17,15,0,0,C2
1,5,6,17,15,0,0,C2
1,5,6,18,15,0,0,C2
1,5,5,18,15,0,0,C2
1,5,5,18,15,0,0,C2
1,5,5,18,15,0,0,C2
1,5,6,17,15,0,0,C2
1,5,6,17,15,0,0,C2
1,5,5,18,15,0,0,C2
1,6,5,18,15,0,0,C2
0,6,5,18,15,0,0,C2
0,5,5,18,15,0,0,C2
1,5,5,18,15,0,0,C2
1,5,5,18,15,0,0,C2
0,5,5,18,15,0,0,C2
0,5,5,18,15,0,0,C2
0,5,5,18,15,0,0,C2
1,5,5,18,15,0,0,C2
1,5,5,18,15,0,0,C2
1,5,5,18,15,0,0,C2
1,5,5,18,15,0,0,C2
1,5,5,18,15,0,0,C2
1,5,5,18,15,0,0,C2
1,5,5,18,15,0,0,C2
0,6,5,18,15,0,0,C2
1,6,6,18,15,0,0,C2
1,5,6,18,15,0,0,C2
1,5,7,17,15,0,0,C2
1,4,9,17,16,0,0,C2
1,5,9,18,17,0,0,C2
1,4,8,17,17,0,0,C2
1,4,8,17,17,0,0,C2
1,4,10,15,19,0,0,C2
1,3,12,14,19,0,0,C2
1,3,11,15,19,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,20,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,5,19,14,0,0,C2
1,6,6,18,14,0,0,C2
1,6,6,18,14,0,0,C2
1,6,6,19,15,0,0,C2
0,5,5,18,15,0,0,C2
0,5,5,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,14,0,0,C2
0,5,4,19,14,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,5,4,19,14,0,0,C2
0,5,4,19,14,0,0,C2
0,6,5,20,14,0,0,C2
1,7,5,19,13,0,0,C2
1,7,6,18,13,0,0,C2
1,7,6,18,14,0,0,C2
1,7,6,19,15,0,0,C2
1,5,4,18,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,16,0,0,C2
0,5,4,18,15,0,0,C2
0,5,4,18,15,0,0,C2
0,5,4,18,15,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,18,15,0,0,C2
0,4,4,17,15,0,0,C2
0,6,5,21,14,0,0,C2
1,5,7,21,17,0,0,C2
1,5,8,20,15,0,0,C2
1,6,6,19,15,0,0,C2
0,7,5,21,15,0,0,C2
0,6,4,20,13,0,0,C2
0,8,3,20,11,0,0,C2
0,9,3,22,11,0,0,C2
0,6,3,20,15,0,0,C2
0,4,6,17,16,0,0,C2
0,4,5,17,16,0,0,C2
0,4,6,17,16,0,0,C2
1,5,6,17,15,0,0,C2
1,6,6,18,14,0,0,C2
1,7,6,19,14,0,0,C2
1,7,5,19,13,0,0,C2
1,7,5,19,14,0,0,C2
1,7,5,19,13,0,0,C2
1,7,5,19,13,0,0,C2
1,7,4,19,14,0,0,C2
1,7,4,19,14,0,0,C2
1,7,5,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,5,19,15,0,0,C2
0,5,4,18,15,0,0,C2
0,6,4,19,15,0,0,C2
1,6,5,18,15,0,0,C2
1,6,5,19,15,0,0,C2
0,6,4,19,15,0,0,C2
0,6,5,19,15,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,3,19,14,0,0,C2
0,5,5,18,15,0,0,C2
1,6,6,17,15,0,0,C2
1,5,6,17,15,0,0,C2
1,5,6,17,15,0,0,C2
1,5,6,18,15,0,0,C2
1,5,6,18,15,0,0,C2
1,5,6,18,15,0,0,C2
1,5,6,18,15,0,0,C2
1,5,6,18,15,0,0,C2
1,5,6,18,15,0,0,C2
1,6,5,18,15,0,0,C2
1,6,5,18,15,0,0,C2
1,6,6,18,15,0,0,C2
1,6,6,18,15,0,0,C2
1,5,6,17,15,0,0,C2
1,6,6,18,15,0,0,C2
1,6,5,18,15,0,0,C2
1,6,6,18,15,0,0,C2
1,6,6,18,15,0,0,C2
1,6,6,18,15,0,0,C2
0,6,5,18,15,0,0,C2
0,6,4,19,14,0,0,C2
0,6,5,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,19,14,0,0,C2
0,6,4,18,14,0,0,C2
1,6,6,18,14,0,0,C2
1,6,5,18,14,0,0,C2
1,6,5,18,14,0,0,C2
1,6,5,18,14,0,0,C2
1,5,5,18,14,0,0,C2
1,6,5,18,14,0,0,C2
0,6,5,18,14,0,0,C2
1,6,4,18,14,0,0,C2
1,5,5,18,15,0,0,C2
1,5,5,18,14,0,0,C2
0,6,4,18,14,0,0,C2
0,6,4,18,14,0,0,C2
0,6,4,18,14,0,0,C2
0,6,4,19,14,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,4,19,15,0,0,C2
0,5,5,19,15,0,0,C2
0,5,5,19,15,0,0,C2
0,5,5,19,15,0,0,C2
1,6,6,19,15,0,0,C2
1,6,6,19,15,0,0,C2
1,6,6,18,15,0,0,C2
1,5,6,18,16,0,0,C2
1,4,7,18,16,0,0,C2
1,5,7,18,16,0,0,C2
1,5,6,19,16,0,0,C2
1,5,6,18,16,0,0,C2
0,5,5,19,16,0,0,C2
0,5,5,19,16,0,0,C2
0,6,4,19,15,0,0,C2
0,6,5,19,15,0,0,C2
1,5,6,18,15,0,0,C2
1,5,6,18,15,0,0,C2
1,5,5,19,15,0,0,C2
0,6,5,19,16,0,0,C2
0,5,5,19,16,0,0,C2
0,5,5,19,16,0,0,C2
0,6,5,19,16,0,0,C2
0,5,5,19,16,0,0,C2
0,5,5,19,16,0,0,C2
0,5,5,19,16,0,0,C2
0,5,5,18,16,0,0,C2
0,5,5,19,16,0,0,C2
0,5,5,19,16,0,0,C2
0,5,4,19,16,0,0,C2
0,5,4,19,16,0,0,C2
0,4,4,18,16,0,0,C2
0,5,4,18,16,0,0,C2
0,5,4,18,16,0,0,C2
0,5,4,18,16,0,0,C2
0,5,4,18,16,0,0,C2
0,5,4,18,16,0,0,C2
1,5,6,18,17,0,0,C2
1,5,5,17,17,0,0,C2
1,4,6,16,17,0,0,C2
2,5,6,17,16,0,0,C2
0,5,4,18,17,0,0,C2
0,5,5,18,17,0,0,C2
1,5,5,18,17,0,0,C2
0,5,5,19,17,0,0,C2
0,4,5,18,17,0,0,C2
1,5,5,19,17,0,0,C2
0,4,5,19,17,0,0,C2
1,5,4,18,17,0,0,C2
1,5,7,17,17,0,0,C2
1,4,7,18,17,0,0,C2
1,4,5,17,17,0,0,C2
0,4,4,18,17,0,0,C2
1,4,6,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,6,18,17,0,0,C2
1,4,6,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,5,17,17,0,0,C2
1,4,6,17,17,0,0,C2
1,4,6,17,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,6,17,17,0,0,C2
1,4,6,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,5,6,18,17,0,0,C2
1,4,5,16,17,0,0,C2
1,4,7,17,17,0,0,C2
1,4,6,17,17,0,0,C2
1,4,7,17,17,0,0,C2
1,4,6,17,17,0,0,C2
1,4,6,17,17,0,0,C2
1,4,6,17,16,0,0,C2
1,5,7,17,16,0,0,C2
1,5,6,17,17,0,0,C2
1,4,6,17,17,0,0,C2
1,5,6,17,17,0,0,C2
1,5,6,17,16,0,0,C2
1,5,7,17,17,0,0,C2
1,5,6,18,17,0,0,C2
1,4,5,18,17,0,0,C2
1,5,4,18,16,0,0,C2
1,4,5,17,17,0,0,C2
1,3,6,16,17,0,0,C2
1,3,6,17,17,0,0,C2
1,4,4,18,17,0,0,C2
1,5,6,16,18,0,0,C2
1,3,6,16,17,0,0,C2
1,4,6,17,17,0,0,C2
1,4,5,17,17,0,0,C2
1,4,4,18,16,0,0,C2
1,5,4,18,16,0,0,C2
1,5,4,18,16,0,0,C2
1,5,3,18,16,0,0,C2
1,5,4,18,16,0,0,C2
1,5,4,18,16,0,0,C2
1,4,4,18,16,0,0,C2
1,4,4,18,16,0,0,C2
1,5,4,18,16,0,0,C2
1,5,4,18,16,0,0,C2
0,4,4,18,16,0,0,C2
0,4,4,18,16,0,0,C2
0,4,4,18,16,0,0,C2
0,4,4,18,16,0,0,C2
1,5,4,18,16,0,0,C2
1,5,4,18,15,0,0,C2
1,5,4,17,15,0,0,C2
1,5,4,17,14,0,0,C2
1,5,4,18,14,0,0,C2
1,5,4,18,14,0,0,C2
1,5,4,18,14,0,0,C2
1,5,4,18,15,0,0,C2
1,5,4,18,15,0,0,C2
1,5,4,19,15,0,0,C2
1,5,4,18,16,0,0,C2
1,5,5,18,16,0,0,C2
1,4,6,18,18,0,0,C2
1,6,6,20,17,0,0,C2
1,9,5,22,14,0,0,C2
1,7,6,20,18,0,0,C2
1,6,7,20,18,0,0,C2
0,5,5,18,18,0,0,C2
1,4,6,18,18,0,0,C2
1,5,5,18,17,0,0,C2
1,5,6,18,17,0,0,C2
1,5,5,19,18,0,0,C2
0,4,5,19,17,0,0,C2
0,5,5,18,17,0,0,C2
1,5,5,19,17,0,0,C2
0,4,5,18,17,0,0,C2
0,5,5,19,17,0,0,C2
0,3,2,18,16,0,0,C2
0,4,0,20,16,0,0,C2
0,4,1,19,17,0,0,C2
0,3,3,17,17,0,0,C2
0,3,4,17,17,0,0,C2
0,3,3,17,17,0,0,C2
0,4,2,19,17,0,0,C2
0,4,2,18,16,0,0,C2
0,4,3,18,17,0,0,C2
0,3,4,17,17,0,0,C2
0,3,4,17,17,0,0,C2
0,4,3,17,16,0,0,C2
1,4,2,18,15,0,0,C2
0,5,4,17,16,0,0,C2
1,4,5,16,17,0,0,C2
1,5,3,19,14,0,0,C2
1,5,3,19,15,0,0,C2
1,5,2,20,15,0,0,C2
1,5,4,18,17,0,0,C2
1,3,5,15,18,0,0,C2
1,2,5,17,17,0,0,C2
1,4,4,19,16,0,0,C2
