load1,load2,load3,load4,load5,load6,load7,label
0,3,8,17,15,0,0,C2
0,4,8,17,15,0,0,C2
0,4,8,17,15,0,0,C2
0,3,8,17,15,0,0,C2
1,5,7,18,13,0,0,C2
1,5,6,17,13,0,0,C2
1,5,6,18,14,0,0,C2
1,4,6,18,13,0,0,C2
1,4,7,18,14,0,0,C2
0,5,6,19,14,0,0,C2
1,5,6,19,14,0,0,C2
0,4,6,18,14,0,0,C2
1,4,7,18,14,0,0,C2
1,4,6,18,14,0,0,C2
0,5,7,18,14,0,0,C2
1,4,7,17,14,0,0,C2
0,4,6,19,14,0,0,C2
1,4,7,18,14,0,0,C2
0,4,6,19,14,0,0,C2
0,5,6,18,14,0,0,C2
